,tweets
3320,"@askmenfess tj, soalnya belom nyoba mrt"
3321,"Oh ternyata mba2 yang mirip @danillajpr waktu rame kemarin itu kerjanya di mrt fatmawati bagian ticketing. Barusan ngeliat, sampe kaget hahaha"
3322,[askmf] klean lebih suka suara mbak mbak transjakarta atau mrt?
3323,"Terus di Jenius ini kita juga bs tabung mata uang asing. dan kmrn aku baru baca tweet orang yang bilang bisa pakai Jenius di MRT Singapore, langsung tap tanpa dftr apa apa hahahah amaze sendiri jadinya. Jenius ini uda debit visa."
3324,"Pagi ini telat kantor karena ketiduran di MRT dr Lb Bulus babalas sampe ke HI, pas sadar kereta nya udh sampe Benhil tapi arah dari HI. 🙄"
3325,"I'm at MRT Hua Lamphong - @bem_mrt in Pathum Wan, Bangkok https://t.co/oa1GwHiguD"
3326,Pucha ! Siksikan si MRT 🤦🏻‍♂️🤦🏻‍♂️
3327,"""ini kabut atau polusi?"" adalah hal yg kutanyakan ke diriku sendiri setiap kali keluar MRT station"
3328,It applies time beratur waiting for MRT/LRT. If you mana2 org potong barisan or tak beratur tegur elok2. Rakyat malaysia ni kalau nk ubah perangai tu susah sikit but aku rasa dengan cara mcm ni diorg malu sikit and lama2 terbiasa dengan peraturan/adab
3329,RT @thecrowdview: MRT @birdwriter7 #lifecoaching #Books #ChildrensBooks #NewReleases... https://t.co/o3e06SqXB1 via: https://t.co/EqvIZ6AvGC
3330,"@Aizzdeen Untuk makluman, yang pertama boleh rujuk jadual sementara waktu komuter ini bertarikh sehingga 4 Ogos 2019. Sekiranya perkhidmatan hanya tamat di KL Sentral, encik perlu naik MRT ke Sg Buloh. Dari Sg Buloh naik KTM komuter semula ke Kepong. https://t.co/eMNFvaQHKl"
3331,"@CoachJustinL kalau gasalah bundaran hi-kampung bandan
https://t.co/fnDtSEdnG2"
3332,MRT @birdwriter7 #lifecoaching #Books #ChildrensBooks #NewReleases... https://t.co/o3e06SqXB1 via: https://t.co/EqvIZ6AvGC
3333,"@heryazwan @alvinlie21 @KPPU Betul. Pernah ngunjungi pameran dg tiket 10 rb. Ternyata nyampe sana gak bisa masuk kalo gak beli kartu e-money keluaran bank yg nyeponsori pameran tsb, harganya 50 rb. Yg 40 rb itu saldo, buat bayar bus/MRT bisa. Di iklan pameran tdk disebutkan."
3334,"@ferdiriva V lavender lgsung MRT, banyak tempat makan."
3335,"@fhmyisa hahaha sebab elak mengamuk pagi pagi la dah taknak bawak kereta pegi keje. Kita naik mrt je skrg, tapi semak sikit lah. Beratur nak naik mrt macam nak beli Xin Fu Tang 🙃🙂"
3336,"Aku tidak menunggumu sukses kemudian bersamamu,tapi bersamamu hingga kamu sukses dan mempertahankannya itu yang aku mau.
.
.
.
.
.
📷 by : @SulamatTaufik @ MRT Stasiun Bunderan HI - Lebak Bulus https://t.co/QlUqRATTzT"
3337,Harini belajar pergi kerja naik mrt &amp; rapid je. No grab🙅🏻‍♀️
3338,"@animalfess kalo di mrt jkt ga boleh bawab hewan, tapi ini gemes banget dong"
3339,"Jakartans love meaningless competition too much. Dulu-duluan keluar kereta, buru-buruan tap in and out mrt. Padahal abis itu jalan kek keong sambil main hp 🤷‍♀️"
3340,Ngantor naik MRT kane uga
3341,"@Firmanhamzah15 @Dahnilanzar @AdvokatlK hhhh bisa aja, apa sate mrt"
3342,"salah ngajak gue :"" ngajakin naik MRT sama pacarnya pelatih kan malah ga enak nolak ikut latihan 😌 https://t.co/kVWAHB8EgX"
3343,@alinalinda_ @dwiwulan dilarang pacaran di mrt
3344,"@rullesmana @acipanser @weiguang91 @Adysaurus @Haunz @KelinciPaskah @a_mo_d @hunterharada LRT MRT TRANSJAKARTA sama sama ditunggu, tepat waktu seneng, lama tetep ditunggu, cepet juga ditunggu, ughhhh pagi ini aku ingin memulai hari dengan boker di pagi hari"
3345,"ini sekarang udh mulai banyak nih di depan kantor gw... pas di dpn The Plaza &amp; PI, di deket pintu masuk MRT Bunderan HI https://t.co/JZP5ln39It"
3346,@bulbaseinov @weiguang91 @Adysaurus @Haunz @KelinciPaskah @a_mo_d @hunterharada @rullesmana LTR apaan? apanya MRT? 🙄
3347,@rahman_tahta Tidak terkena macet ya kak kalau naik MRT :) Terima kasih sobat setia Smartfren. Zia
3348,"@mrtjakarta Tadi saya tidak menerima struk pembayaran tunainya.
Ga apa2 cuma saya mau lapor saja. Semoga hal ini jadi pertimbangan ke depannya utk sistem MRT yg lbh baik. Terima kasih."
3349,"@helmifelis @AndiArief__ udah hel, nikmatin aja yang sekarang, mrt cukup nyaman apalagi sate khas senayan, ditambah nasi goreng yang nikmat.
nggak usah nyalah-nyalahin orang lain, cermin mana cermin ?"
3350,"Naik MRT gerbong khusus wanita, rata2 tasnya merk Coach sama Tory Burch.
Yang LV sama Chanel cherry2nya aja, alias pemanis yang jarang.

#InfoLayananMasyarakat"
3351,"YANG NAIK MRT JAM SEGINI LUCU-LUCU BANGET, YA ALLAH. KAYAK LAGI LIHAT MASA DEPAN YANG CERAAAAAH BANGET."
3352,@smartfrencare MRT Jakarta dong min. Anti polusi.
3353,"Bayangin yg kaya ginian ketemu di krl ato mrt, mampus gue🙃 https://t.co/oLzsBknNwW"
3354,@skinnyfolk @catsedih Padahal di stasiun mrt fatmawati nih
3355,"@adriansyahyasin Ga bisa minta MRT yg atur, masih kewenangah dishub jkt kalau skrg"
3356,kalo naik mrt itu gimanasi ? serius nanya gatau soalnya 😭
3357,"aku ingat kat mrt je makcik2 akan tolak , ni kat bus pon nak 🙃"
3358,"Bm foto disini uda lama tp baru kesampean foto😂

Loc: stasiun mrt haji nawi, blok A

Thanks masternim @Sinda_cia 😍 https://t.co/u1nETW5bdS"
3359,Babila aku lagi 2 mins masuk keje still kat dalam MRT lagi ni. Ughhh I blame kakak toll yg sombong tu. Ikutkan sombong aku nak je aku cakap engko tu keje toll je tu pun nak berlagak. Babi benci laa sial harini!!!
3360,"Assalamualaikum, selamat pagi wahai kamu yang disayangi Allah.
Pagi ini, ditengah hiruk pikuknya hari senin dan penuhnya deretan kursi di MRT. Aku melihat sosok pria bertopi tepat duduk di kursi seberangku. Lalu ntah kenapa aku berharap itu kamu"
3361,"Radikal kok terus, naik MRT kan udah, lalu disana sudah makan nasi goreng, masih saja narasi begini dipakai terus, karepmu opo? https://t.co/hlXhfUErtU"
3362,"74th merdeka indonesia;masa urusan pengairan pertanian saja masih belum diatasi.Kekeringan musim panas bukan sekali ini saja.Malah bangga bangun jl tol,lrt,mrt yg bukan kebutuhan pokok.Gimana polapikir pemerintah ini apa ada tujuan2 lain,tak berniat sejahterakan rakyat indonesia."
3363,"Seandainya di tembok2 MRT ini ada grafiti ala anak milenial, pasti lebih enak dipandang mata. @aniesbaswedan https://t.co/y9E6DOHoLT"
3364,@mrtjakarta min kalo dari st gambir mau naik mrt terdekat yg mana ya? ada rute ke blokm tidak ya?😀
3365,ketawe bahak2 kt dlm mrt HAHAHAHAHA https://t.co/CcsqinlcoW
3366,RT @Aaajeng: Naik delman istimewa &amp; mrt di hari Minggu 🌞🔥 https://t.co/1k68gx6mZ0
3367,Pagiku mengeluh banyak bat si tangga mrt elah https://t.co/k7xFIC6BvD
3368,RT @lamkanahraf: Cuba try tarik escort police menteri and VIP confirm terkejut beruk diorang terus perbetulkan our roads. Rasa sikit lah ra…
3369,kelas dah start sejam lepas dan aku masih dalam mrt ye rakan rakan
3370,@yohangyuIdan Mrt mamsh
3371,Emang udah harus berangkat jam segitu dari rumah karna sekarang aja baru sampe mrt hmm
3372,"@HumamMuchsin @DKIJakarta Woiiii loe Buta atau tuli, trans jakarta Yg skrg bagus2 dr skania itu program Ahok, dan MRT dan LRT itu program ahok, yg skrg dpt penghargaan 75% hasil kerja Ahok...apa yg bisa d lakukan junjungan loe bambu yg paling mahal itu bertahan cuma 6 bulan, liat simpang semanggi..😃😃😃"
3373,"Pemandangan pagi ini dari stasiun mrt, wow. Gedung-gedungnya keliatan udah samar banget. Perasaan minggu kemarin ga separah ini deh."
3374,Dah kejar bas.. kejar mrt pulak. What a bad day ☹️
3375,Rekonsiliasi dan Konstalasi Politik Pasca MRT - https://t.co/EzvWuj59Se https://t.co/HIswq9qun8
3376,@rifabanisa @ferdiriva MRT plus banyak kedai makanan yg franchise maupun kedai2 kecil yg halal
3377,@gracejoanca @jejefreey @shanmrc Nih gress w lg di mrt https://t.co/EZndkJ0OTC
3378,"@dedyweha @CommuterLine sama enakan yg lama, lagian estimasi waktu gak guna juga, paling cuma jumlah rangkaian. malah jadi useless tulisannya kecil banget mending dah kaya di mrt tulisannya"
3379,"@PT_TransJakarta No body mikrotrans ny ga inget min...sy pke tapcash reguler...tapcashny utk toll, krl, mrt, dan transjakarta bus bs d gunakan, tp d mikrotrans ga bsa"
3380,"Saking excitednya pertama kali ke kantor naik MRT, kacamata w ketinggalan.

Hehehe untung udah bawa panadol, jaga2 kalo pusing maksa ngeliat :”)"
3381,aku first time naik mrt dari bukit bintang ni. hahsahajahaj k
3382,RT @mxrbellaftyouu: Etha klmtik w mrt 5 minutes w ma rdait 3lay ensa elsalfa w ensa eny klmtik a9ln w kl tbn w la trd
3383,I'm at Tanah Merah MRT Interchange (EW4) - @smrt_singapore in Singapore https://t.co/L7ZN2cx5e6
3384,"@ferdiriva Tergantung tujuan, Dok. Biar efisien, yg deket sm lokasi tujuan atau pakai MRT atau bis pun ga perlu pindah jalur. Village Hotel Bugis kalau mau yg luas tp harga oke. Kalau mau bareng2 bisa airbnb. Favorit sih di sekitar MRT Bugis karena bisa pilih jalur MRT biru atau hijau."
3385,train pun nak monday blues ke ??? pintu mrt takmo bukak ni protes ke cene?
3386,"Makasih lho pak prabowo, bapak msh memikirkan kami...🙏
Sejak pertemuan ""MRT"" itu kami sptnya ditinggalkan, kmi ga punya partner in crime lgi.
Skrg kmi punya acuan lgi 👍 https://t.co/v7FGGOMEr5"
3387,"Keluhkan Koordinasi Proyek MRT, Polisi: Mau Rusak Jalan Itu, Kabari Kami https://t.co/gaLLU7Q4b2  #DickyFirmanzyah"
3388,"Jokowi menggunakan falsafah jawa thd Prabowo : *ngalahake tanpo ngasorake* = mengalahkan tanpa mempermalukan.Ptemuan Jokowi &amp; Prabowo 13 Juli 2019 di MRT sangat melegakan masyarakat. Merajut kembali persatuan Nasional.
Untuk memahami 
*buka youtube ini* :
https://t.co/r5xPcw3CEs"
3389,MRT @SE_Welfonder #quote #MondayMotivation @bookouture #Now 99p 99p 99p! https://t.co/mJmesE8aRN
3390,"@prabowo @Dahnilanzar Kecewa dgn sikap bapak yang slalu mengalah,terutama saat bapak temui si nganu di MRT.karena sama artinya bapak membei legitimasi kepadanya"
3391,@tutur_mrt Mohh🤞❤️
3392,"salam, morning guys, sejuk pulak mrt ni"
3393,"@ferdiriva V Lavender Hotel, transport jadi gampang karna undergroundnya ada MRT Lavender."
3394,@mryntsh ni yang depan mrt kembangan ke?
3395,RT @jokoanwar: Gundala naik MRT. 😍 https://t.co/rSqJ4TGsuf
3396,"5 Meme lucu kelakuan buruk penumpang MRT Jakarta, geregetan deh! https://t.co/YVIRG3ZQge https://t.co/4d6k8PWOu0"
3397,"Gue diri depan stasiun mrt dukuh atas rame orang pada ngeliatin gue,apa gue pake jakun biar makin eyecatching?"
3398,"RT @drhaltekehalte: Bakso Malang belakang Plaza Indonesia, belok kiri 5 m dari Kebon Kacang Gate (pintu belakang,250 m dari Sts MRT Bund HI…"
3399,Lengang gila MRT. Banyak kosong boleh duduk selalu pagi macam ni penuh gila kot
3400,aku syg mrt https://t.co/1fX0twzzLX
3401,RT @Typical_Ahmed: Etha klmtik w mrt 5 minutes w ma rdait 3lay ensa elsalfa w ensa eny klmtik a9ln w kl tbn w la trd
3402,"RT @widjokongko: Peta detil 1:10k jelas diperlukan utk dukung mitigasi tsunami. Data DEM dg reso ~5m memadai, tp msh mahal. ~500jt cukup ya…"
3403,"@ferdiriva di Sentosa Resort World,dok.. agak jauh kemana mana... cm di sana apa aja ada.. kl bosen sekitaran SRW, tinggal naik MRT k vivo city... 😁😁😁"
3404,Naik lrt/mrt tak pakai lanyard susah gak pastu lupa letak mana kad ergh
3405,@fanbasebokepp ayo jogingnya di mrt
3406,@nursaidr_ Wih MRT euy
3407,@icha_mrt kangen mas nya aja deh
3408,@havanaaef @Lobby_LGBT Bah si
3409,"Kereta tiba pukul berapa?
.
.
#happymonday
.
.
#nantisiangnyobaintontokiah
#naik @mrtjakarta #is #gewd #monday #adalah #senin #isnin @ Stasiun MRT Lebak Bulus https://t.co/DJY2jDhhhC"
3410,"@ferdiriva Apartemen dorsett singapore, (sebelah hotel dorsett), bawah nya stasiun MRT, dekat chinatown, dok"
3411,@mrt_b13 @canyilmzz Merhabalar aq
3412,"@rnmishrauppcl @edpmcuppcl @myogiadityanath @PMOIndia @AmitShah @MP_Meerut @DmMeerut @JagranMeerut
M baba khaki MRT CITY ka rehne Wala hu,humare yaha ki light 10 pm se Gul Hui h or abhi raat k 2.30 bje h ai ni h.mene phn kra twn hall to unhone phn pata ni kaha rakha h mil ni Raha"
3413,"@NdoniMathenjwa @MrT_Khathi Udlala ngawe ufana nozodwa wabantu wena bby.., 😘"
3414,"@fxtjcp @ganjarpranowo Beberapa negara membolehkan, dgn syarat sampah harus dibuang diluar kabin MRT dan tdk dlm kondisi Rush Hour. 
Banyak negara yg melarang dgn alasan keamanan dan kenyamanan penumpang lain, juga kebersihan kabin MRT"
3415,Etha klmtik w mrt 5 minutes w ma rdait 3lay ensa elsalfa w ensa eny klmtik a9ln w kl tbn w la trd
3416,"@ferdiriva Furama City Center Hotel. Harga lmyn terjangkau, pas di atas stasiun mrt, depannya ada mcd, sevel dll. Breakfast halal dan enak2. Dkt clarke quay dan mbs."
3417,"Analisa sedikit ngaco, Penguasa mau membubar kan FPI adalah lanjutan kisah kampret&amp; cebong,dimana pendukung Prabowo yg kecewa dgn Prabowo krn ketemu jokowi MRT Lebak bulus,betolak dukung Ulama,dukung HRS,Sdg Pihak Penguasa mau mengakhiri tidak Ada perseteruan cebong&amp;kampret lg"
3418,Optima @ Tanah Merah MRT (2+1 Condo Unit) https://t.co/5kajK6k82j
3419,"expenses(approx.): rm500x5 bulan = rm2500 (makan, transportation --grab, mrt bus coz kadang kita reda je dengan jadwal bas UM, lecture notes, topup, snacks lol/month) fee: rm2300 (pengajian, kolej/sem) 

1 sem = rm4800, round off jela en, = rm5000.

phew ni semua PaMa +sister 😭"
3420,@ferdiriva V lavender bawah langsung MRT
3421,FOTO: Para Pemain Film 'Gundala' Muncul di MRT #uzoneID https://t.co/HLfuXbWlgf
3422,"@aqua_rius17 @nilotica2 @KillBrutus @Kolak_VI @JackMar39013302 @AkalSuper @TNilotica @Abetday02_day @riri_februari @Misspohan2 @warsahidayat @dolirajabi2 @AsepRamly5 @howsweb Yg naik MRT Itu bukan ikan, itu mah berang2 😂
🙌🙌🙌
#KamiDukungFPI 
#KamiDukungFPI"
3423,"train or mrt
bus or mrt"
3424,"It was a free trip tho 😛 Bener2 cuma keluar uang buat beli oleh2, beli jajan, &amp; naik MRT 🥰 https://t.co/J6SfpyNQbj"
3425,@catsedih stasiun MRT H. Nawi nih he he
3426,"@ferdiriva One Farrer Hotel dok , di atasnya mrt Farrer Park atau di Park Royal Hotel on Pickering, ini sih Park Royal paling bagus"
3427,@hgunjin Naik mrt dong
3428,"@ferdiriva Coba cek Park Avenue Rochester, dkt MRT Buona Vista"
3429,"@nilotica2 @KillBrutus @Hansip_Ciraos @Kolak_VI @JackMar39013302 @AkalSuper @TNilotica @Abetday02_day @riri_februari @Misspohan2 @warsahidayat @dolirajabi2 @AsepRamly5 @howsweb Masa ikan naik MRT 🙄🙄
#KamiDukungFPI"
3430,"RT @notbuzzer: 5. seperti Ketua Umum PAN, Zulkifli Hasan, Komandan Kogasma Partai Demokrat, Agus Harimurti Yudhoyono; dan terakhir pertemua…"
3431,"pengen gitu jalan2 ke jabodetabek naik krl, mrt, transjkt sendirian. aneh emang"
3432,@tumi_mrt Whuu ha.a
3433,Sebenernya pak Jokowi bukan pelopor/yg mengidekan munculnya LRT MRT di Indonesia. Jauh sebelum pak Jokowi jd presiden jalur dan titik stasiun udah terlampir di peta RDTR/RTRW kota masing2.
3434,"Cintaku di MRT 🤣 Dari cso ke platform, ke pelamin akhirnya, counting days 🚇"
3435,"5.kebayang dong suasana krl di hari minggu seperti apa? Iya bener, penuh, gerah &amp; saling nempel. Krl mulai berjalan. Di perjalanan itu aku berdiri selalu menunduk supaya dapat udara segar untuk bernapas😪 (anak muda kuat berdiri). Tanpa sadar aku memejamkan mata.Btw ini mrt ya 👇 https://t.co/RSnVYG7SBW"
3436,Onyakang? 🗣 https://t.co/AiNyRb9ED0
3437,"5. seperti Ketua Umum PAN, Zulkifli Hasan, Komandan Kogasma Partai Demokrat, Agus Harimurti Yudhoyono; dan terakhir pertemuan di MRT dengan Ketua Umum Partai Gerindra, Prabowo Subianto. #KIKKuat #JokowiAmin"
3438,"@Mrs_Jeonn8a Demi gope yaa anjirr. Sedih bgt gk jdi naik mrt😭, tpi thankyouu lohhh albumnyaa 😂❤, dan alhamdulillah bangett hari ini kita gk nyentuh kf* hahahahahaha https://t.co/2JRm5gcNxf"
3439,"@imannazim wow, mcm naik mrt pakai token, @SyedSaddiq @chedetofficial"
3440,RT @wahyuseto: Udah ada yang pernah rekomen ini belom sih haltemin @drhaltekehalte ? Radja Seafood 48 di fatmawati (turun MRT fatmawati). K…
3441,"kata @hasanrosadi :

""Jakarta sekarang banyak spot asik ya abis MRT jadi"" https://t.co/2lmb55NPqt"
3442,"gabut gaada tujuan yg tdnya mau ke kpc kokas malah nekat ke TA trs jalan demi dpt gope. Sampe sana naik turun gabut sampe gagal naik MRT. Eh berujung balik lg ke kbc ngakak😂😂 @yongboklee_ 

Beruntung ini ank gk dngr pas gue beli albm. Dasar budeg emng💃 https://t.co/M6FoIuYzQc"
3443,"@doRa_himmawari iya gpp pulang kantor, kn ada MRT, xixixixi, tp tenggo yakh pulangnya"
3444,"Untuk meramaikan skena PERGOYANGAN, KOLAPS BOIS INC. 
Meyuguhkan para penggiat musik yang membuat tubuh anda bergoyang. 
FDC 70K 
BEER ATAU AMER
KONTAKK : +62 21 22763904
Bawa uang lebih, siapa tau mau nyawer. Tempat parkirnya terbatas banget jadi enaknya naik ojol atau naik MRT https://t.co/xlliWTf0BY"
3445,Tout perdu ce wk
3446,"tapi jujur aku kecewa, dgn keamanannya Blok M Plaza yg harusnya lbh ketat lagi krn skrg Blok M kan Ada stasiun MRT yg harusnya pengawasan lebih ketat sementara td CCTV banyak sekali yg mati jd tdk bisa melihat secara jelas pelaku dan kemana arah pelaku"
3447,RT @msofyan: Menangis di MRT https://t.co/PRM9r8AVL1
3448,"@bbulduck @seulgritty aku cilandak barat cel, yang deket stasiun MRT cipete raya tuh"
3449,"@erwinto_yanuar @widyanath @shitlicious MRT kan ada yg di bawah tanah, malih."
3450,"@nden @ireneindah_p @yoyen @GeeksInside_ Iya betul, terakhir liat info ada 3 kandidat utk menangin design project integrasi halte csw dgn stasiun mrt asia afrika."
3451,"@CommuterLine mau bertanya, apakah KMT baru terintegrasi dengan TJ dan MRT?"
3452,"Itu yang ngasih rekomendasi warung boma cuma 10 meter dari stasiun mrt haji nawi kayanya harus direvisi deh. Yang bener 750 meter dari haji nawi, 500 meter dari cipete raya"
3453,Anggep wae otw kkn numpak mrt
3454,"Pagi tadi cfd di bundaran HI eh aga siangan ke GI. Abis gitu naik MRT turun LB, mampir bentar nyari sesuatu eh abis gitu nympe rumah jam 4 dichat bilang kalo jam 5 dia mo jemput. Busettt kaki gaada istirahat nya :""(("
3455,"@gratissatu kamu dari ratchathewi nanti turun di siam, nah dari siam kamu ke saladaeng, nanti ganti kereta dari bts ke mrt di silom, nah baru deh ke hua lampong. oh iya ini aplikasinya explore bangkok ya.. https://t.co/xtFjdF2PVh"
3456,Mau nyoba mrt ah
3457,"@cindypermadi 
Emang bener kak?
Mrt lebih besar Lrt https://t.co/6HjBMNjNof"
3458,@erbedjogja Terima kasih telah menggunakan MRT Jakarta🙂
3459,"@cikicikiwawa @SamuelReza14 @elisa_jkt @ZAEffendy Kalo saya lihat justru yang lebih urgent yang ke Dukuh Atas ngga si? Karena pusat ekonomi, dibanding stadion yang hanya rame kalo ada pertandingan/acara saja. Tapi anehnya saya baca bahwa itu ternyata cuma sampe Manggarai. Harusnya kan bisa integrasi sama LRT Jabodebek dan MRT."
3460,"Mau post di story ig cuman asa 'naon' yaudah post disini aja, 2 hari yg lalu keluar dri mrt istora mandiri jam 6. https://t.co/AGkVExAB2h"
3461,RT @dmsrmdnt: muka jefri nichol udah ilang di kereta MRT + di dalem stasiun. kalian semua expendable
3462,"Fore Go sudirman, itu ke arah mana deh? arah mrt?"
3463,muka jefri nichol udah ilang di kereta MRT + di dalem stasiun. kalian semua expendable
3464,@hanyataeman HAH HAH ANIN  TD NAIK MRT
3465,@hanyataeman ASTAGA W TD DRI MRT JUGA
3466,"@Gerdynee sekolah gue dulu nih apalagi pas msh pembangunan MRT. gempa lebak dulu, udah kepikiran gempa tp msh sempet mikir dulu ""eh ini gempa bukan sih"" pas kerasa kenceng baru lari"
3467,Gua pen coba naik mrt dah :(
3468,@taminisme Kutak merasakannya. Padahal lagi di MRT tadi 😬
3469,MRT @bobbyblaze744 #leadership MRT @bobbyblaze744 #lifecoaching How 2 help your #teen find a #tech #careerhttps://t.co/IfLdzNIyyi
3470,Naik delman istimewa &amp; mrt di hari Minggu 🌞🔥 https://t.co/1k68gx6mZ0
3471,@febrianalif kan itu di stasiun mrt
3472,Ternyaman emang naik MRT begini~ https://t.co/mQqZLNsvA5
3473,Nasib baik sempat naik mrt
3474,suara ni yang selalu buat mata aku kuyu je dalam mrt 😂 https://t.co/1hMQsqV7Zi
3475,"Allhamdulilah sekarang punya orang yg bisa menggantikan tugas ketika belanja
One Of My Relationship Goals list
- bawain makanan buat nyokap
- Di ajak nyokap belanja bareng
- Bercanda bareng adik saya
- Makan bareng keluarga saya
.
Thank You Twiter and u'r support
Mention
Dm
&amp;
MRT https://t.co/jsIOb4eQav"
3476,@pengangguraaan Tumpakan ku ga mobil mas tapi kereta mrt dadi ga faham ngenean
3477,"@hijriahwanD Grab atau Gojek ini mas?

Lekas pulang, istirahat. Lanjut besok lagi cari nafkahnya. Semangat terus. ✊💪 Semoga bisa ketemu kapan2 &amp; numpang di jalan, tukang nyambung dari MRT soalnya 😁"
3478,@scrramble Ngga saya mrt
3479,@bangautampan Ayoo mrt
3480,Kukira getarnya MRT tumbenan ampe berasa pas goleran di kasur. Rupanya beneran gempa https://t.co/VxMwBdNU4v
3481,Is this including squat buat ngepel? Or lari2 ngejar mrt takut telat ke kantor? https://t.co/ur9wcwefTK
3482,"baru sempet nyoba MRT hari ini, overall mantep lah. sesuai ekspektasi sebuah ""metro/mass rapid"". Tapi... ada bbrp minor yg perlu ditambah/diperbaiki @mrtjakarta"
3483,@zaidsoyzain aku tunggu kat mrt maluri
3484,Hai @AskRapidKL station mrt tutup pukul berapa ye hari ahad?
3485,"@devin_satya dosen2 yg aku kenal di sini semua eksekutor di balik project besar dan bermanfaat buat orang banyak: tol trans sumatera, MRT Jakarta, inland waterways CBL dan masih banyak lagi. itu baru beberapa yg aku tau ya."
3486,"RT @AyubeeB: @_pr3t_2 @issymessysysy Manis tq 
Semoga cinta tdk perna jauh2 ... hahaha tetep 
2019GantiPresiden 
Haha rekonsiliasi di MRT P…"
3487,@velyllyly Tutoriap naik mrt dong
3488,"Detail handphone

Model: iPhone X grey 64gb LL set (FULLSET)

Harga : RM2850

Warranty: Sebulan by MyPhone Valley

Cod percuma: Bangi Gateway
Cod berbayar: RM29 mane2 stesen ktm/lrt/mrt
Pos J&amp;T: RM10 Semenanjung &amp; RM20 S/S
Dm or wassap 0179919877 ntk order. https://t.co/KM4isDexeK"
3489,"Rekonsiliasi dan Konstalasi Politik Pasca MRT

https://t.co/mom4d09jWn

#KamiTetapOposisi
《♡》
@ORPLN
https://t.co/PclOu9An9G"
3490,@al_majidee Mhahahahaha takde orang. Ni dkt mrt
3491,@catsedih ini stasiun mrt haji nawi bukan ga si 🤔🤔
3492,"Dari awal tahun sampai skrg aku attached dgn projek mrt line 2 ni, 6 orang dah yg aku kenal benti. 3 dari company sendiri. If that doesn't show you how stressful and toxic the work environment is I dont know what is. Nak benti miskin pulak. Hadap je la selagi tak mati lagi"
3493,Menangis di MRT https://t.co/PRM9r8AVL1
3494,@Sotong_terbang Mrt murah
3495,@Atunatufuli Lwt jalur MRT aee wkwk
3496,RT @RidwanMaullan: Ini dia peta rute MRT Jakarta masa depan. Pembangunan MRT Jakarta hingga 2030 ditargetkan mencapai 230 km. Terdiri dari…
3497,"Penumpang MRT memang beda dari penumpang KRL. Beberapa kali naik MRT yang gak terlalu ramai, ada kursi kosong malah dianggurin, padahal di KRL ada kursi kosong anugerah banget"
3498,EH srius bgt gaada yg mau naik mrt apa
3499,"Ini dia peta rute MRT Jakarta masa depan. Pembangunan MRT Jakarta hingga 2030 ditargetkan mencapai 230 km. Terdiri dari 162,8 km jalur bawah tanah dan 68,16 km jalur layang. Nggak sabar pengen nyobain keliling Jakarta naik MRT #IndonesiaMaju https://t.co/eLxRwTYmp9"
3500,@imerincook Inilah energi yang bisa bikin Jokowi dan Prabowo ketemu di MRT
3501,RT @thecrowdview: MRT @bobbyblaze744 #lifecoaching How 2 help your #teen find a #tech #careerhttps://t.co/IfLdzNIyyi
3502,@januarv_ Pengen ngerasin naik MRT
3503,Lagi di MRT jadi nda berasa gempa...
3504,"Satu dari sekian banyak tempat yang instagrammable di MRT Jakarta : Stasiun ASEAN (d/h Sisingamangaraja).
Disini Anda dapat melihat dan mengabadikan detik-detik pertemuan kedua armada Ratangga saat meninggalkan jalur… https://t.co/JfbUlIUhYR"
3505,#superlatepost  @ MRT Jakarta — at MRT Jakarta https://t.co/6hz5KvhTh8
3506,"Tapi karna abis liat story jouska ini gua mikir kerasss bgt, sebenernya udh lama bgt kepikiran ini haha btw gua weekend kemaren jalan sama pacar paling abis 90k dari kantong, cuma beli minum sama ongkos commuterline&amp;mrt, sisanya mas pacar yg selalu men-treat aku. Alhamdulillah"
3507,RT @katherinecheca_: hbd mbtc gbu tc otw brb jwu jgh jfe fftb wdym mp3 mp4 skl sml mrt lrt ggwp gma abs cbn tv5 cnn asl adu pup feu nu ceu…
3508,"@iamstwn Aku juga, dah capek2 naik mrt ke bundaran HI, ternyata CFD, padahal mau tes tpa, malah pakai sepatu tapak tinggi, jalan jauh diliatin org. Brengsek memang🙃 Nyampe lokasi ujian, keringetan🙃"
3509,RT @makmummasjid: di singaparna bisa ngetap mrt pake bpjs ketenagakerjaan https://t.co/tRK14MyJEH
3510,"SELAMAT UNTUK @CEOSOMI01 YANG DAPAT SATU POIN KARNA MENJAWAB BENAR DENGAN KECEPATAN MRT.

SEKARANG, KITA MERAPAT KE SOAL #3 https://t.co/rzzYGIZamd"
3511,"Naik MRT dr Bundaran HI ke Lebak bulus, balik lagi ke HI,
Lanjut Naik busway ke Manggarai,
Dr Manggarai naik KRL ke bekasi,dr bekasi balik k jkt naik busway.
Random bgt,saking jenuhnya idup gw 🤔😒😏"
3512,"RT @rezaphlv: Adem banget ngeliat dua orang Tokoh Besar Negara naek MRT beduaan, pake baju couple warna samaan, ketawa - ketiwi bareng gini…"
3513,hbd mbtc gbu tc otw brb jwu jgh jfe fftb wdym mp3 mp4 skl sml mrt lrt ggwp gma abs cbn tv5 cnn asl adu pup feu nu ceu up ue admu ust dlsu ilysm imysm @mdvllflrs https://t.co/YGP4w3G6Ro
3514,Pertamakali ngebolang dengan MRT bareng Danc &amp; Naya 🚃⚡️ https://t.co/Wb3GhoUjEs
